"Run ID" RA_PNT DEC_PNT Exposure[s] ALT_PNT AZ_PNT TSTART[MJD] SRC_NAME NSB_TUNING POINT/FULL_ENCLOSURE FILENAME
1874 83.6486126403192 22.05761761714273 58875.86420354988 69.38126218785783 104.06023416691781 58875.86420354988 Crab 0.14 point /pnfs/cta.cscs.ch/lst/DL3/20200127/v0.10/tailcut84/nsb_tuning_0.14/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.14/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run01874.fits
1880 83.62191137978108 21.914267787921098 58875.95543069262 77.69914459704584 238.4549553681806 58875.95543069262 Crab 0.14 point /pnfs/cta.cscs.ch/lst/DL3/20200127/v0.10/tailcut84/nsb_tuning_0.14/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.14/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run01880.fits
1888 83.56674478973754 22.052258565753025 58877.01689816028 59.98645194765818 264.6335399159341 58877.01689816028 Crab 0.07 point /pnfs/cta.cscs.ch/lst/DL3/20200128/v0.10/tailcut84/nsb_tuning_0.07/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.07/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run01888.fits
1918 166.05372366541118 38.236092002608046 58880.050546427985 62.27071243185622 61.918119606539264 58880.050546427985 Mrk421 0.0 point /pnfs/cta.cscs.ch/lst/DL3/20200131/v0.10/tailcut84/nsb_tuning_0.00/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.00/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run01918.fits
1919 166.06139366843604 38.227121400271315 58880.072467186415 66.72977363449819 59.571003207494876 58880.072467186415 Mrk421 0.0 point /pnfs/cta.cscs.ch/lst/DL3/20200131/v0.10/tailcut84/nsb_tuning_0.00/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.00/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run01919.fits
1991 83.64408761091745 22.017377789935278 58894.984708933116 52.898743798455314 269.04709979658185 58894.984708933116 Crab 0.14 point /pnfs/cta.cscs.ch/lst/DL3/20200215/v0.10/tailcut84/nsb_tuning_0.14/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.14/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run01991.fits
1992 86.6478264925085 22.01738706935445 58895.00064218767 51.67308701885004 269.7392211718526 58895.00064218767 OffCrab 0.14 full-enclosure /pnfs/cta.cscs.ch/lst/DL3/20200215/v0.10/tailcut84/nsb_tuning_0.14/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.14/src_indep/full-enclosure/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run01992.fits
1992 86.6478264925085 22.01738706935445 58895.00064218767 51.67308701885004 269.7392211718526 58895.00064218767 OffCrab 0.14 point /pnfs/cta.cscs.ch/lst/DL3/20200215/v0.10/tailcut84/nsb_tuning_0.14/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.14/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run01992.fits
2009 86.64031354135454 22.015695224241007 58897.893276302886 80.34790662893985 226.6210705246829 58897.893276302886 OffCrab 0.14 full-enclosure /pnfs/cta.cscs.ch/lst/DL3/20200218/v0.10/tailcut84/nsb_tuning_0.14/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.14/src_indep/full-enclosure/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02009.fits
2009 86.64031354135454 22.015695224241007 58897.893276302886 80.34790662893985 226.6210705246829 58897.893276302886 OffCrab 0.14 point /pnfs/cta.cscs.ch/lst/DL3/20200218/v0.10/tailcut84/nsb_tuning_0.14/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.14/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02009.fits
2033 86.64774652519952 22.0172960729681 58906.95493918447 54.68430797597995 267.99282545199884 58906.95493918447 OffCrab 0.14 full-enclosure /pnfs/cta.cscs.ch/lst/DL3/20200227/v0.10/tailcut84/nsb_tuning_0.14/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.14/src_indep/full-enclosure/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02033.fits
2033 86.64774652519952 22.0172960729681 58906.95493918447 54.68430797597995 267.99282545199884 58906.95493918447 OffCrab 0.14 point /pnfs/cta.cscs.ch/lst/DL3/20200227/v0.10/tailcut84/nsb_tuning_0.14/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.14/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02033.fits
2205 303.61629636419696 65.14460482949931 59044.0001637947 49.729391468065316 17.410254686591298 59044.0001637947 1ES1959+650 0.07 point /pnfs/cta.cscs.ch/lst/DL3/20200713/v0.10/tailcut84/nsb_tuning_0.07/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.07/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02205.fits
2206 299.9907094547267 65.63902149701624 59044.009378777824 50.97867046230507 13.091279602542809 59044.009378777824 1ES1959+650 0.07 point /pnfs/cta.cscs.ch/lst/DL3/20200713/v0.10/tailcut84/nsb_tuning_0.07/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.07/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02206.fits
2207 299.9926254680979 64.63921103999506 59044.020695890686 52.5163040946721 11.766965182527832 59044.020695890686 1ES1959+650 0.07 point /pnfs/cta.cscs.ch/lst/DL3/20200713/v0.10/tailcut84/nsb_tuning_0.07/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.07/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02207.fits
2209 282.13207404185613 -1.784811812873656 59044.06250302547 56.076191224693474 208.4788953729221 59044.06250302547 "HESS J1848-018" 0.14 full-enclosure /pnfs/cta.cscs.ch/lst/DL3/20200713/v0.10/tailcut84/nsb_tuning_0.14/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.14/src_indep/full-enclosure/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02209.fits
2209 282.13207404185613 -1.784811812873656 59044.06250302547 56.076191224693474 208.4788953729221 59044.06250302547 "HESS J1848-018" 0.14 point /pnfs/cta.cscs.ch/lst/DL3/20200713/v0.10/tailcut84/nsb_tuning_0.14/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.14/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02209.fits
2211 329.7982251964938 -8.94090392247342 59044.08269561518 45.00979347133688 142.85341320447134 59044.08269561518 DarkPatch_21 0.22 point /pnfs/cta.cscs.ch/lst/DL3/20200713/v0.10/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02211.fits
2214 329.8012143326664 -8.941417141545688 59044.09956041621 48.13414398198137 151.07668559625785 59044.09956041621 DarkPatch_21 0.38 point /pnfs/cta.cscs.ch/lst/DL3/20200713/v0.10/tailcut1005/nsb_tuning_0.38/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.38/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02214.fits
2215 326.42226129631393 31.718081148550667 59044.10660782281 79.491887098842 70.08732657046684 59044.10660782281 DarkPatch_02 0.38 point /pnfs/cta.cscs.ch/lst/DL3/20200713/v0.10/tailcut1005/nsb_tuning_0.38/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.38/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02215.fits
2216 302.01233955708136 3.4891012663257133 59044.124976140345 59.02071694959856 218.9608409796449 59044.124976140345 DarkPatch_23 0.5 point /pnfs/cta.cscs.ch/lst/DL3/20200713/v0.10/tailcut1005/nsb_tuning_0.50/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.50/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02216.fits
2370 300.94886174337444 65.13576554172766 59070.969847917375 53.11054159038524 6.3875117442086164 59070.969847917375 1ES1959+650 0.07 point /pnfs/cta.cscs.ch/lst/DL3/20200809/v0.10/tailcut84/nsb_tuning_0.07/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.07/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02370.fits
2372 300.00473180956624 65.53871781161794 59070.9949664019 53.145280009346855 291.1403560106888 59070.9949664019 1ES1959+650 0.38 point /pnfs/cta.cscs.ch/lst/DL3/20200809/v0.10/tailcut1005/nsb_tuning_0.38/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.38/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02372.fits
2408 299.99979349758996 65.53819248986898 59072.97927927365 53.08011744024792 2.7483827007221158 59072.97927927365 1ES1959+650 0.07 point /pnfs/cta.cscs.ch/lst/DL3/20200811/v0.10/tailcut84/nsb_tuning_0.07/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.07/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02408.fits
2411 300.0048367296245 65.53847461787397 59072.99572949145 53.11185100256018 357.9240055038529 59072.99572949145 1ES1959+650 0.07 point /pnfs/cta.cscs.ch/lst/DL3/20200811/v0.10/tailcut84/nsb_tuning_0.07/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.07/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02411.fits
2413 300.96517210033494 65.13586828336985 59073.02385360638 52.6573187433808 351.05977803823816 59073.02385360638 1ES1959+650 0.07 point /pnfs/cta.cscs.ch/lst/DL3/20200811/v0.10/tailcut84/nsb_tuning_0.07/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.07/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02413.fits
2415 300.0183141071906 65.93888103934025 59073.052992023804 49.89157111605921 345.02335407239144 59073.052992023804 1ES1959+650 0.38 point /pnfs/cta.cscs.ch/lst/DL3/20200811/v0.10/tailcut1005/nsb_tuning_0.38/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.38/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02415.fits
2416 300.02092084647836 65.13956693206228 59073.06652156086 49.24163965849338 341.69515919949816 59073.06652156086 1ES1959+650 0.38 point /pnfs/cta.cscs.ch/lst/DL3/20200811/v0.10/tailcut1005/nsb_tuning_0.38/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.38/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02416.fits
2419 300.02295543330655 65.1367767471213 59074.07222373241 48.48639273431056 340.4395873052471 59074.07222373241 1ES1959+650 0.38 point /pnfs/cta.cscs.ch/lst/DL3/20200812/v0.10/tailcut1005/nsb_tuning_0.38/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.38/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02419.fits
2421 300.02605816086447 65.5406372336696 59074.0965396152 45.44418832513095 337.41030491298267 59074.0965396152 1ES1959+650 0.5 point /pnfs/cta.cscs.ch/lst/DL3/20200812/v0.10/tailcut1005/nsb_tuning_0.50/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.50/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02421.fits
2426 307.542798803852 3.477923230839532 59075.023689214446 63.341239777057346 200.6219999999996 59075.023689214446 DarkPatch 0.14 point /pnfs/cta.cscs.ch/lst/DL3/20200813/v0.10/tailcut84/nsb_tuning_0.14/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.14/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02426.fits
2428 302.0144347991473 3.489312275268609 59075.04638580065 57.246650425520386 223.6345411388279 59075.04638580065 DarkPatch 0.14 point /pnfs/cta.cscs.ch/lst/DL3/20200813/v0.10/tailcut84/nsb_tuning_0.14/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.14/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02428.fits
2466 356.77942278388645 51.30813815975079 59079.18161009398 62.98154936537756 332.51637166948774 59079.18161009398 1ES2344+514 0.07 point /pnfs/cta.cscs.ch/lst/DL3/20200817/v0.10/tailcut84/nsb_tuning_0.07/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.07/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02466.fits
2468 357.4250422332821 51.706600756761446 59079.196717925886 60.730395764071176 328.76303807639636 59079.196717925886 1ES2344+514 0.07 point /pnfs/cta.cscs.ch/lst/DL3/20200817/v0.10/tailcut84/nsb_tuning_0.07/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.07/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02468.fits
2686 357.42558208512156 51.697485513641 59106.09935216942 64.57666582115752 339.0447563802688 59106.09935216942 1ES2344+514 0.14 point /pnfs/cta.cscs.ch/lst/DL3/20200913/v0.10/tailcut84/nsb_tuning_0.14/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.14/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02686.fits
2687 357.4263554942497 51.697634485425574 59106.10573817536 63.47721907792142 335.270381367015 59106.10573817536 1ES2344+514 0.14 point /pnfs/cta.cscs.ch/lst/DL3/20200913/v0.10/tailcut84/nsb_tuning_0.14/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.14/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02687.fits
2688 356.13822019802393 51.69786801687298 59106.11655469034 61.45786715957052 330.17274986676915 59106.11655469034 1ES2344+514 0.14 point /pnfs/cta.cscs.ch/lst/DL3/20200913/v0.10/tailcut84/nsb_tuning_0.14/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.14/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02688.fits
2691 84.05694255027889 22.01587335233094 59106.19607880944 56.62415498320697 93.18784886641315 59106.19607880944 Crab 0.38 point /pnfs/cta.cscs.ch/lst/DL3/20200913/v0.10/tailcut1005/nsb_tuning_0.38/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.38/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02691.fits
